变量名,name,name_tw,name_en,attributeType,rarity,natureType,natureType2,battleFlag,rectSize,bossCard_id,bossLife,cardID,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,show,bansxScale,bansxPosC,passiveSkillList,skillList,everyPos,lifeScale,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,text,text_tw,text_en,text_vn,text_th
14,超级喷火龙X,超級噴火龍X,Mega Charizard X,base,2,2,15,,,,,14,config/portrait/speedranktouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang/img_6_cjphlx@.png,config/portrait/jinglingtouxiang1/img_6_cjphlx@.png,config/portrait/simple/img_6_cjphlx@.png,config/big_hero/normal/img_6_cjphlx@.png,,{x=-45;y=20},koudai_penhuolongmegax/hero_penhuolongmegax.skel,config/big_hero/standby/img_6_cjphlx@.png,,{x=50;y=-120},,<141;142;143>,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,2.4,,,1.44,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,200,15000,0,0,200,3000,0,10000,200,0,0,0,,,0,0,,,,,花费%d钻石增加1次挑战次数?,花費%d鑽石增加1次挑戰次數?,Sure to spend %d Diamond to add one challenge chance?,Tiêu %d KC t?ng 1 l??t khiêu chi?n?,??????????%d ???????????????????????? ???????????
,超级喷火龙Y,超級噴火龍Y,Mega Charizard Y,base,2,2,10,,,,,15,config/portrait/speedranktouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang/img_6_cjphly@.png,config/portrait/jinglingtouxiang1/img_6_cjphly@.png,config/portrait/simple/img_6_cjphly@.png,config/big_hero/normal/img_6_cjphly@.png,,,koudai_penhuolongmegax/hero_penhuolongmegax.skel,config/big_hero/standby/img_6_cjphly@.png,,{x=50;y=-120},,<921;922;923>,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,2.4,,,,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,0,0,0,,,0,0,,,,,购买挑战次数: %d/%d,購買挑戰次數: %d/%d,Challenge chance Purchased: %d/%d,mua l??t khiêu chi?n: %d/%d,??????????????? ?????????:%d/%d
21,杰尼龟,傑尼龜,Squirtle,base,2,3,,,,,,21,config/portrait/speedranktouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang/img_7_jng@.png,config/portrait/jinglingtouxiang1/img_7_jng@.png,config/portrait/simple/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,{x=25;y=10},koudai_jienigui/hero_jienigui.skel,config/big_hero/standby/img_7_jng@.png,,{x=120;y=0},,<211;212;213>,{'hitPos'={'x'=0;'y'=115};'lifePos'={'x'=0;'y'=250};'headPos'={'x'=0;'y'=210};'namePos'={'x'=0;'y'=250}},,,2.3,,,1.38,,,,,,,,,,,,,42.404,1.017,9.131,9.212,3.82,3.82,1.13,1.13,1.14,1.19,1.15,1.19,874,1000,400,,,,198,205,115,114,0,0,29,0,15000,100,400,0,3000,0,10000,0,100,0,0,,,0,0,,,,,已达到今日重置上限,已達到今日重置上限,Daily reset cap reached,?? ??t gi?i h?n cài l?i h?m nay,?????? ????? ???????????????
22,卡咪龟,卡咪龜,Wartortle,base,2,3,,,,,,22,config/portrait/speedranktouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang/img_8_kmg@.png,config/portrait/jinglingtouxiang1/img_8_kmg@.png,config/portrait/simple/img_8_kmg@.png,config/big_hero/normal/img_8_kmg@.png,,{x=20;y=0},koudai_kamigui/hero_kamigui.skel,config/big_hero/standby/img_8_kmg@.png,,{x=120;y=0},,<221;222;223>,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,2.5,,,1.44,,,,,,,,,,,,,44.28,1.053,9.532,9.532,3.98,3.98,1.18,1.17,1.19,1.24,1.19,1.24,1045,1000,400,,,,235,241,129,129,0,0,34,0,15000,100,400,0,3000,0,10000,0,100,0,0,,,0,0,,,,,提升VIP等级可增加重置次数,提升VIP等級可增加重置次數,Upgrade VIP level to get more reset chances,T?ng c?p VIP ?? t?ng l??t cài l?i,??????????VIP ????????????????????????
23,水箭龟,水箭龜,Blastoise,base,2,3,,,,,,23,config/portrait/speedranktouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang/img_9_sjg@.png,config/portrait/jinglingtouxiang1/img_9_sjg@.png,config/portrait/simple/img_9_sjg@.png,config/big_hero/normal/img_9_sjg@.png,1.2,,koudai_shuijiangui/hero_shuijiangui.skel,config/big_hero/standby/img_9_sjg@.png,,{x=60;y=-50},,<231;232;233>,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,2.6,,,1.56,,,,,,,,,,,,,46.156,1.107,10.013,10.013,4.173,4.205,1.23,1.23,1.25,1.3,1.25,1.31,1339,1000,400,,,,301,307,157,164,0,0,41,0,15000,100,400,0,3000,0,10000,0,100,0,0,,,0,0,,,,,今日重置次数已达到最高VIP重置上限,今日重置次數已達到最高VIP重置上限,Daily reset cap for current VIP level reached,L??t cài l?i h?m nay ?? ??n gi?i h?n c?a c?p VIP,????????????????????????????????????????? VIP ????
31,绿毛虫,綠毛蟲,Caterpie,base,1,12,,,,,,31,config/portrait/speedranktouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang/img_10_lmc@.png,config/portrait/jinglingtouxiang1/img_10_lmc@.png,config/portrait/simple/img_10_lmc@.png,config/big_hero/normal/img_10_lmc@.png,0.8,{x=10;y=20},koudai_lvmaochong/hero_lvmaochong.skel,config/big_hero/standby/img_10_lmc@.png,,{x=120;y=0},,<311;312;313>,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,1.4,,,0.9,,,,,,,,,,,,,39.777,0.954,8.09,7.93,3.306,3.178,1.06,1.06,1.01,1.03,0.99,0.99,633,1000,400,,,,98,75,51,36,0,0,24,0,15000,0,0,0,3000,0,10000,150,150,0,0,,,0,0,,,,,重置关卡次数需要花费：%d钻石,重置關卡次數需要花費：%d鑽石,Reset stage chance to spend: %d Diamond,Cài l?i l??t ?i c?n tiêu: %d KC,???????????????? ???????????????????: ????%d
,铁甲蛹,鐵甲蛹,Metapod,base,1,12,,,,,,32,config/portrait/speedranktouxiang/img_11_tjy@.png,config/portrait/jinglingtouxiang/img_11_tjy@.png,config/portrait/jinglingtouxiang1/img_11_tjy@.png,config/portrait/simple/img_11_tjy@.png,config/big_hero/normal/img_11_tjy@.png,,{x=10;y=40},koudai_badahu/hero_badahu.skel,config/big_hero/standby/img_11_tjy@.png,,{x=80;y=0},,<311;312;313>,,,,1.5,,,0.9,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,0,0,0,,,0,0,,,,,确定重置吗？（今日已重置%d次）,確定重置嗎？（今日已重置%d次）,Sure to reset?( Already reset %d times),Cài l?i? (H?m nay ?? cài l?i %d l?n),???????????????????????? (%d ?????????????????)
33,巴大蝶,巴大蝶,Butterfree,base,1,12,10,,,,,33,config/portrait/speedranktouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang/img_12_bdd@.png,config/portrait/jinglingtouxiang1/img_12_bdd@.png,config/portrait/simple/img_12_bdd@.png,config/big_hero/normal/img_12_bdd@.png,,{x=40;y=20},koudai_badahu/hero_badahu.skel,config/big_hero/standby/img_12_bdd@.png,,{x=80;y=0},,<331;332;333>,,,,1.9,,,1.02,,,,,,,,,,,,,41.278,1.017,8.491,9.452,3.435,3.724,1.1,1.13,1.06,1.07,1.18,1.16,819,1000,400,,,,135,262,66,100,0,0,32,0,15000,0,0,0,3000,0,10000,150,150,0,0,,,0,0,,,,,未达成,未達成,Unavailable,Ch?a ??t,??????
,独角虫,獨角蟲,Weedle,base,1,12,8,,,,,41,config/portrait/speedranktouxiang/img_13_djc@.png,config/portrait/jinglingtouxiang/img_13_djc@.png,config/portrait/jinglingtouxiang1/img_13_djc@.png,config/portrait/simple/img_13_djc@.png,config/big_hero/normal/img_13_djc@.png,,{x=10;y=25},koudai_dazhenfeng/hero_dazhenfeng.skel,config/big_hero/standby/img_13_djc@.png,,{x=100;y=-50},,<>,,,,,,,1.35,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,0,0,0,,,0,0,,,,,已领取,已領取,Claimed,?? nh?n,??????????
,铁壳蛹,鐵殼蛹,Kakuna,base,1,12,8,,,,,42,config/portrait/speedranktouxiang/img_14_tky@.png,config/portrait/jinglingtouxiang/img_14_tky@.png,config/portrait/jinglingtouxiang1/img_14_tky@.png,config/portrait/simple/img_14_tky@.png,config/big_hero/normal/img_14_tky@.png,,{x=0;y=10},koudai_dazhenfeng/hero_dazhenfeng.skel,config/big_hero/standby/img_14_tky@.png,,{x=100;y=-50},,<>,,,,,,,1.35,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,0,0,0,,,0,0,,,,,花费%d钻石刷新商店?,花費%d鑽石刷新商店?,Sure to refresh store with %d Diamond?,Tiêu %d KC làm m?i Shop?,???%d ???????????????
43,大针蜂,大針蜂,Beedrill,base,1,12,8,,,,,41,config/portrait/speedranktouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang/img_15_dzf@.png,config/portrait/jinglingtouxiang1/img_15_dzf@.png,config/portrait/simple/img_15_dzf@.png,config/big_hero/normal/img_15_dzf@.png,1.2,,koudai_dazhenfeng/hero_dazhenfeng.skel,config/big_hero/standby/img_15_dzf@.png,,{x=100;y=-50},,<431;432;433>,,,,2,,,1.32,,,,,,,,,,,,,41.653,1.026,9.452,8.491,3.338,3.724,1.11,1.14,1.18,1.04,1.06,1.16,881,1000,400,,,,262,135,55,100,0,0,33,100,15000,0,0,200,3000,0,10000,0,0,0,0,,,0,0,,,,,花费%d钻石刷新公会商店?,花費%d鑽石刷新公會商店?,Sure to refresh guild store with %d Diamond?,Tiêu %d KC làm m?i Shop Bang?,???%d ????????????????????
,超大针蜂,超大針蜂,Mega Beedrill,base,2,12,8,,,,,44,config/portrait/speedranktouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang/img_15_cjdzf@.png,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,config/portrait/simple/img_15_cjdzf@.png,config/big_hero/normal/img_15_cjdzf@.png,,,koudai_dazhenfengmega/hero_dazhenfengmega.skel,config/big_hero/standby/img_15_cjdzf@.png,,{x=100;y=-50},,<441;442;443>,,,,,,,1.35,,,,,,,,,,,,,52.16,1.071,9.532,10.653,3.788,4.109,1.39,1.19,1.19,1.18,1.33,1.28,2233,1000,400,,,,241,398,103,150,0,0,36,0,15000,0,0,0,3000,0,10000,0,0,0,0,,,0,0,,,,,花费%d钻石刷新%s?,花費%d鑽石刷新%s?,Sure to refresh %s with %d Diamond?,Tiêu %d KC làm m?i %s?,????%d??????????%s?
51,波波,波波,Pidgey,base,2,1,10,,,,,51,config/portrait/speedranktouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang/img_16_bb@.png,config/portrait/jinglingtouxiang1/img_16_bb@.png,config/portrait/simple/img_16_bb@.png,config/big_hero/normal/img_16_bb@.png,1.1,{x=-15;y=10},koudai_bobo/hero_bobo.skel,config/big_hero/standby/img_16_bb@.png,,{x=150;y=0},,<511;512;513>,{'hitPos'={'x'=0;'y'=190};'lifePos'={'x'=0;'y'=400};'headPos'={'x'=0;'y'=360};'namePos'={'x'=0;'y'=400}},,,2.2,,,1.32,,,,,,,,,,,,,42.029,1.053,9.051,8.811,3.595,3.531,1.12,1.17,1.13,1.12,1.1,1.1,779,1000,400,,,,180,152,80,74,0,0,33,0,15000,0,0,300,3000,0,10000,300,0,0,0,,,0,0,,,,,，前%d次购买体力翻倍,，前%d次購買體力翻倍,", get double vitality for first %d times",", %d l?n ??u mua th? l?c ???c g?p ??i",",%d ???????????????????????? ????????????????"
52,比比鸟,比比鳥,Pidgeotto,base,2,1,10,,,,,52,config/portrait/speedranktouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang/img_17_bbn@.png,config/portrait/jinglingtouxiang1/img_17_bbn@.png,config/portrait/simple/img_17_bbn@.png,config/big_hero/normal/img_17_bbn@.png,1.1,{x=10;y=15},koudai_bibiniao/hero_bibiniao.skel,config/big_hero/standby/img_17_bbn@.png,,{x=100;y=0},,<521;522;523>,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,2.2,,,1.32,,,,,,,,,,,,,44.655,1.089,9.452,9.212,3.724,3.692,1.19,1.21,1.18,1.16,1.15,1.15,1102,1000,400,,,,226,195,97,91,0,0,38,0,15000,0,0,300,3000,0,10000,300,0,0,0,,,0,0,,,,,(今日已用%d/%d),(今日已用%d/%d),(Already used %d/%d),(H?m nay ?? dùng %d/%d),(??????%d/%d)
53,大比鸟,大比鳥,Pidgeot,base,2,1,10,,,,,53,config/portrait/speedranktouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang/img_18_dbn@.png,config/portrait/jinglingtouxiang1/img_18_dbn@.png,config/portrait/simple/img_18_dbn@.png,config/big_hero/normal/img_18_dbn@.png,1.5,{x=60;y=60},koudai_dabiniao/hero_dabiniao.skel,config/big_hero/standby/img_18_dbn@.png,,{x=120;y=0},,<531;532;533>,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,2.3,,,1.38,,,,,,,,,,,,,46.907,1.17,9.932,9.692,3.916,3.884,1.25,1.3,1.24,1.22,1.21,1.21,1410,1000,400,,,,291,257,122,116,0,0,50,0,15000,0,0,300,3000,0,10000,300,0,0,0,,,0,0,,,,,您是VIP%s，今日还可购买,您是VIP%s，今日還可購買,"You are VIP%s, can still purchase","B?n là VIP%s, h?m nay còn ???c mua",???????VIP%s ???????????????? ????????
61,小拉达,小拉達,Rattata,base,1,1,,,,,,61,config/portrait/speedranktouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang/img_19_xld@.png,config/portrait/jinglingtouxiang1/img_19_xld@.png,config/portrait/simple/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,{x=10;y=35},koudai_xiaolada/hero_xiaolada.skel,config/big_hero/standby/img_19_xld@.png,,{x=100;y=0},,<611;612;613>,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,1.7,,,1.02,,,,,,,,,,,,,37.901,1.017,8.731,8.01,3.306,3.306,1.01,1.13,1.09,1.03,1,1.03,457,1000,400,,,,164,86,51,51,0,0,32,100,15000,0,0,100,3000,0,10000,0,0,0,0,,,200,0,,,,,次,次,time, l?n,???
62,拉达,拉達,Raticate,base,1,1,,,,,,62,config/portrait/speedranktouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang/img_20_ld@.png,config/portrait/jinglingtouxiang1/img_20_ld@.png,config/portrait/simple/img_20_ld@.png,config/big_hero/normal/img_20_ld@.png,0.95,{x=20;y=10},koudai_lada/hero_lada.skel,config/big_hero/standby/img_20_ld@.png,,{x=100;y=0},,<621;622;623>,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,2.2,,,1.32,,,,,,,,,,,,,40.528,1.08,9.292,8.571,3.531,3.627,1.08,1.2,1.16,1.1,1.07,1.13,752,1000,400,,,,235,148,76,88,0,0,41,100,15000,0,0,100,3000,0,10000,0,0,0,0,,,200,0,,,,,通关,通關,Passed,V??t ?i,?????????????????
