变量名,unitID,name,name_tw,name_en,name_vn,name_kr,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
29,2822,Zoroark,索羅亞克,Zoroark,404404,????,8,,500,150,1.5,1,38,12,,18
30,2432,Darkrai,達克萊伊,Darkrai,404404,????,8,,560,145,1.5,1,35,14,,16
31,2723,Krookodile,流氓鱷,Krookodile,404404,????,8,,590,140,1.5,1,32,15,,15
32,1082,Weavile,瑪狃拉,Weavile,404404,????,8,,630,135,1.5,1,30,16,,14
33,131,Cleffa,皮寶寶,Cleffa,404404,?,9,,375,150,1.5,1,38,12,,18
34,151,Igglybuff,寶寶丁,Igglybuff,404404,???,9,,420,145,1.5,1,35,14,,16
35,3431,Swirlix,綿綿泡芙,Swirlix,404404,????,9,,443,140,1.5,1,32,15,,15
36,471,Lickitung,大舌頭,Lickitung,404404,???,9,,473,135,1.5,1,30,16,,14
37,1253,Tyranitar,班基拉斯,Tyranitar,404404,????,10,,375,150,1.5,1,38,12,,18
38,1503,Aggron,波士可朵拉,Aggron,404404,????,10,,420,145,1.5,1,35,14,,16
39,712,Snorlax,卡比獸,Snorlax,404404,???,10,,443,140,1.5,1,32,15,,15
40,1423,Slaking,請假王,Slaking,404404,???,10,,473,135,1.5,1,30,16,,14
41,2442,Shaymin - Sky,謝米·天空形態,Shaymin - Sky,404404,404404,11,,598,150,1.5,1,38,12,,18
42,3211,Reshiram,萊希拉姆,Reshiram,404404,????,11,,672,145,1.5,1,35,14,,16
43,3221,Zekrom,捷克羅姆,Zekrom,404404,????,11,,708,140,1.5,1,32,15,,15
44,3241,Kyurem,酋雷姆,Kyurem,404404,???,11,,756,135,1.5,1,30,16,,14
45,1221,Raikou,雷公,Raikou,404404,???,12,,500,150,1.5,1,38,12,,18
46,1231,Entei,炎帝,Entei,404404,???,12,,560,145,1.5,1,35,14,,16
47,1241,Suicune,水君,Suicune,404404,???,12,,590,140,1.5,1,32,15,,15
48,7001,Ash's Pikachu,小智版皮卡丘,Ash's Pikachu,404404,404,12,,630,135,1.5,1,30,16,,14
49,1911,Regirock,雷吉洛克,Regirock,404404,???,13,,500,150,1.5,1,38,12,,18
50,1921,Regice,雷吉艾斯,Regice,404404,?????,13,,560,145,1.5,1,35,14,,16
51,1931,Registeel,雷吉斯奇魯,Registeel,404404,????,13,,590,140,1.5,1,32,15,,15
52,2381,Regigigas,雷吉奇卡斯,Regigigas,404404,?????,13,,630,135,1.5,1,30,16,,14
53,9001,Ditto - Purple,百變怪·紫色,Ditto - Purple,404404,???: ???,14,,375,150,1.5,1,38,12,,18
54,9002,Ditto - Orange,百變怪·橙色,Ditto - Orange,404404,???: ???,14,,420,145,1.5,1,35,14,,16
55,9003,Ditto - Red,百變怪·紅色,Ditto - Red,404404,???: ???,14,,443,140,1.5,1,32,15,,15
56,221,Psyduck,可達鴨,Psyduck,404404,????,14,,473,135,1.5,1,30,16,,14
57,1982,Mega Rayquaza,超級裂空座,Mega Rayquaza,404404,?????,15,,598,150,1.5,1,38,12,,18
58,2351,Dialga,帝牙盧卡,Dialga,404404,????,15,,672,145,1.5,1,35,14,,16
59,2361,Palkia,帕路奇亞,Palkia,404404,???,15,,708,140,1.5,1,32,15,,15
60,2391,Giratina,騎拉帝納,Giratina,404404,????,15,,756,135,1.5,1,30,16,,14
